"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
-6,0.71696,0,8.7913,10.109,1.6234,0,0
-6,0.7649,0,8.7901,9.8246,1.4386,0,0
-6,0.38138,0,8.7933,10.575,1.8874,0,0
-6,0.42932,0,8.7935,10.715,1.96,0,0
-6,0.86078,0,8.7844,9.246,0.9587,0,0
-6,0.90582,0,8.7802,9.0146,0.68251,0,0
-6,0.47726,0,8.7943,10.787,1.9959,0,0
-6,0.5252,0,8.7939,10.785,1.9949,0,0
-6,0.096024,0,8.7827,9.026,0.69443,0,0
-6,0.14167,0,8.7865,9.2584,0.97282,0,0
-6,0.18962,0,8.7905,9.5461,1.2293,0,0
-6,0.23756,0,8.7891,9.8409,1.449,0,0
-4.5005,-6.7358e-16,0,8.7252,8.7252,0,0,0
-4.5506,-6.7562e-16,0,8.7273,8.7273,0,0,0
-4.6006,-6.7766e-16,0,8.7293,8.7293,0,0,0
-4.6507,-6.7971e-16,0,8.7314,8.7314,0,0,0
-4.7008,-6.8175e-16,0,8.7334,8.7334,0,0,0
-4.7508,-6.838e-16,0,8.7355,8.7355,0,0,0
-4.8009,-6.8584e-16,0,8.7375,8.7375,0,0,0
-4.851,-6.8788e-16,0,8.7396,8.7396,0,0,0
-4.901,-6.8993e-16,0,8.7416,8.7416,0,0,0
-4.9511,-6.9197e-16,0,8.7436,8.7436,0,0,0
-5.0012,-6.9401e-16,0,8.7456,8.7456,0,0,0
-5.0512,-6.9606e-16,0,8.7476,8.7476,0,0,0
-5.1013,-6.981e-16,0,8.7496,8.7496,0,0,0
-5.1514,-7.0015e-16,0,8.7516,8.7516,0,0,0
-5.2015,-7.0219e-16,0,8.7536,8.7536,0,0,0
-5.2515,-7.0423e-16,0,8.7555,8.7555,0,0,0
-5.3016,-7.0628e-16,0,8.7575,8.7575,0,0,0
-5.3517,-7.0832e-16,0,8.7594,8.7594,0,0,0
-5.4017,-7.1037e-16,0,8.7614,8.7614,0,0,0
-5.4518,-7.1241e-16,0,8.7633,8.7633,0,0,0
-5.5019,-7.1445e-16,0,8.7652,8.7652,0,0,0
-5.5519,-7.165e-16,0,8.7671,8.7671,0,0,0
-5.602,-7.1854e-16,0,8.769,8.769,0,0,0
-5.6521,-7.2059e-16,0,8.7708,8.7708,0,0,0
-5.7021,-7.2263e-16,0,8.7726,8.7726,0,0,0
-5.7522,-7.2467e-16,0,8.7743,8.7743,0,0,0
-5.8023,-7.2672e-16,0,8.7759,8.7759,0,0,0
-5.8524,-7.2876e-16,0,8.7776,8.7776,0,0,0
-5.9024,-7.308e-16,0,8.7792,8.7792,0,0,0
-5.9524,-7.3284e-16,0,8.7808,8.7808,0,0,0
-6,0.073961,0,8.7821,8.9325,0.54792,0,0
-6,0.054775,0,8.7823,8.8683,0.4142,0,0
-6,0.038092,0,8.7823,8.8255,0.29313,0,0
-6,0.023584,0,8.7822,8.7994,0.18423,0,0
-6,0.01097,0,8.7821,8.7861,0.086793,0,0
-6,-1e-15,0,8.7821,8.7821,-7.9936e-15,0,0
0.019983,-4.8904e-16,0,5.9101,5.9101,0,0,0
0,-4.8986e-16,0,5.9765,5.9765,0,0,0
0.039967,-4.8823e-16,0,5.8452,5.8452,0,0,0
0.059951,-4.8741e-16,0,5.782,5.782,0,0,0
0.079966,-4.8659e-16,0,5.7204,5.7204,0,0,0
0.10003,-4.8578e-16,0,5.6605,5.6605,0,0,0
0.12016,-4.8495e-16,0,5.6024,5.6024,0,0,0
0.14037,-4.8413e-16,0,5.546,5.546,0,0,0
0.16054,-4.8331e-16,0,5.4917,5.4917,0,0,0
0.18066,-4.8248e-16,0,5.4397,5.4397,0,0,0
0.20071,-4.8167e-16,0,5.39,5.39,0,0,0
0.22071,-4.8085e-16,0,5.3424,5.3424,0,0,0
0.2407,-4.8003e-16,0,5.2969,5.2969,0,0,0
0.26068,-4.7922e-16,0,5.2534,5.2534,0,0,0
0.28067,-4.784e-16,0,5.2118,5.2118,0,0,0
0.30065,-4.7759e-16,0,5.1721,5.1721,0,0,0
0.32063,-4.7677e-16,0,5.1343,5.1343,0,0,0
0.34061,-4.7595e-16,0,5.0981,5.0981,0,0,0
0.3606,-4.7514e-16,0,5.0637,5.0637,0,0,0
0.38058,-4.7432e-16,0,5.0308,5.0308,0,0,0
0.40056,-4.7351e-16,0,4.9995,4.9995,0,0,0
0.42055,-4.7269e-16,0,4.9697,4.9697,0,0,0
0.44053,-4.7188e-16,0,4.9412,4.9412,0,0,0
0.46051,-4.7106e-16,0,4.914,4.914,0,0,0
0.4805,-4.7024e-16,0,4.888,4.888,0,0,0
0.50048,-4.6943e-16,0,4.8631,4.8631,0,0,0
0.52046,-4.6861e-16,0,4.8392,4.8392,0,0,0
0.54045,-4.678e-16,0,4.8164,4.8164,0,0,0
0.56047,-4.6698e-16,0,4.7944,4.7944,0,0,0
0.58054,-4.6616e-16,0,4.7731,4.7731,0,0,0
0.60068,-4.6534e-16,0,4.7526,4.7526,0,0,0
0.6209,-4.6451e-16,0,4.7328,4.7328,0,0,0
0.64106,-4.6369e-16,0,4.7137,4.7137,0,0,0
0.66118,-4.6287e-16,0,4.6953,4.6953,0,0,0
0.68122,-4.6205e-16,0,4.6775,4.6775,0,0,0
0.70121,-4.6123e-16,0,4.6603,4.6603,0,0,0
0.7212,-4.6042e-16,0,4.6436,4.6436,0,0,0
0.74118,-4.596e-16,0,4.6273,4.6273,0,0,0
0.76116,-4.5879e-16,0,4.6114,4.6114,0,0,0
0.78115,-4.5797e-16,0,4.596,4.596,0,0,0
0.80113,-4.5716e-16,0,4.5809,4.5809,0,0,0
0.82111,-4.5634e-16,0,4.5661,4.5661,0,0,0
0.8411,-4.5552e-16,0,4.5517,4.5517,0,0,0
0.86108,-4.5471e-16,0,4.5375,4.5375,0,0,0
0.88106,-4.5389e-16,0,4.5237,4.5237,0,0,0
0.90104,-4.5308e-16,0,4.51,4.51,0,0,0
0.92103,-4.5226e-16,0,4.4966,4.4966,0,0,0
0.94101,-4.5145e-16,0,4.4834,4.4834,0,0,0
0.96099,-4.5063e-16,0,4.4704,4.4704,0,0,0
0.98098,-4.4981e-16,0,4.4575,4.4575,0,0,0
1.001,-4.49e-16,0,4.4448,4.4448,0,0,0
1.0209,-4.4818e-16,0,4.4322,4.4322,0,0,0
1.041,-4.4736e-16,0,4.4197,4.4197,0,0,0
1.061,-4.4655e-16,0,4.4073,4.4073,0,0,0
1.0812,-4.4572e-16,0,4.395,4.395,0,0,0
1.1014,-4.449e-16,0,4.3827,4.3827,0,0,0
1.1216,-4.4407e-16,0,4.3706,4.3706,0,0,0
1.1417,-4.4325e-16,0,4.3587,4.3587,0,0,0
1.1617,-4.4244e-16,0,4.3468,4.3468,0,0,0
1.1817,-4.4162e-16,0,4.3351,4.3351,0,0,0
1.2017,-4.408e-16,0,4.3234,4.3234,0,0,0
1.2217,-4.3999e-16,0,4.3118,4.3118,0,0,0
1.2417,-4.3917e-16,0,4.3002,4.3002,0,0,0
1.2616,-4.3836e-16,0,4.2888,4.2888,0,0,0
1.2816,-4.3754e-16,0,4.2773,4.2773,0,0,0
1.3016,-4.3673e-16,0,4.2659,4.2659,0,0,0
1.3216,-4.3591e-16,0,4.2546,4.2546,0,0,0
1.3416,-4.3509e-16,0,4.2433,4.2433,0,0,0
1.3616,-4.3428e-16,0,4.232,4.232,0,0,0
1.3815,-4.3346e-16,0,4.2208,4.2208,0,0,0
1.4015,-4.3265e-16,0,4.2096,4.2096,0,0,0
1.4215,-4.3183e-16,0,4.1985,4.1985,0,0,0
1.4415,-4.3101e-16,0,4.1874,4.1874,0,0,0
1.4615,-4.302e-16,0,4.1764,4.1764,0,0,0
1.4815,-4.2938e-16,0,4.1654,4.1654,0,0,0
1.5014,-4.2857e-16,0,4.1544,4.1544,0,0,0
1.5215,-4.2775e-16,0,4.1434,4.1434,0,0,0
1.5416,-4.2693e-16,0,4.1323,4.1323,0,0,0
1.5617,-4.2611e-16,0,4.1213,4.1213,0,0,0
1.5819,-4.2528e-16,0,4.1102,4.1102,0,0,0
1.6021,-4.2446e-16,0,4.0992,4.0992,0,0,0
1.6222,-4.2364e-16,0,4.0884,4.0884,0,0,0
1.6422,-4.2282e-16,0,4.0778,4.0778,0,0,0
1.6622,-4.22e-16,0,4.0672,4.0672,0,0,0
1.6822,-4.2119e-16,0,4.0566,4.0566,0,0,0
1.7022,-4.2037e-16,0,4.0459,4.0459,0,0,0
1.7222,-4.1956e-16,0,4.0353,4.0353,0,0,0
1.7421,-4.1874e-16,0,4.0246,4.0246,0,0,0
1.7621,-4.1793e-16,0,4.014,4.014,0,0,0
1.7821,-4.1711e-16,0,4.0034,4.0034,0,0,0
1.8021,-4.1629e-16,0,3.9929,3.9929,0,0,0
1.8221,-4.1548e-16,0,3.9824,3.9824,0,0,0
1.8421,-4.1466e-16,0,3.9719,3.9719,0,0,0
1.862,-4.1385e-16,0,3.9615,3.9615,0,0,0
1.882,-4.1303e-16,0,3.9511,3.9511,0,0,0
1.902,-4.1222e-16,0,3.9408,3.9408,0,0,0
1.922,-4.114e-16,0,3.9304,3.9304,0,0,0
1.942,-4.1058e-16,0,3.9201,3.9201,0,0,0
1.962,-4.0977e-16,0,3.9099,3.9099,0,0,0
1.9819,-4.0895e-16,0,3.8996,3.8996,0,0,0
2.002,-4.0814e-16,0,3.8893,3.8893,0,0,0
2.0221,-4.0731e-16,0,3.8791,3.8791,0,0,0
2.0422,-4.0649e-16,0,3.8688,3.8688,0,0,0
2.0625,-4.0567e-16,0,3.8584,3.8584,0,0,0
2.0826,-4.0484e-16,0,3.8482,3.8482,0,0,0
2.1027,-4.0402e-16,0,3.838,3.838,0,0,0
2.1227,-4.0321e-16,0,3.8279,3.8279,0,0,0
2.1427,-4.0239e-16,0,3.8177,3.8177,0,0,0
2.1627,-4.0157e-16,0,3.8077,3.8077,0,0,0
2.1827,-4.0076e-16,0,3.7976,3.7976,0,0,0
2.2027,-3.9994e-16,0,3.7876,3.7876,0,0,0
2.2226,-3.9913e-16,0,3.7775,3.7775,0,0,0
2.2426,-3.9831e-16,0,3.7675,3.7675,0,0,0
2.2626,-3.975e-16,0,3.7576,3.7576,0,0,0
2.2826,-3.9668e-16,0,3.7477,3.7477,0,0,0
2.3026,-3.9586e-16,0,3.7378,3.7378,0,0,0
2.3226,-3.9505e-16,0,3.728,3.728,0,0,0
2.3425,-3.9423e-16,0,3.7181,3.7181,0,0,0
2.3625,-3.9342e-16,0,3.7083,3.7083,0,0,0
