"Absolute_Pressure","Aspect_Ratio","Courant_Number","Density","Dynamic_Viscosity","Mesh_Expansion_Factor","Orthogonality_Angle","P_Mass.Residual","Points:0","Points:1","Points:2","Pressure","Pressure.Gradient:0","Pressure.Gradient:1","Pressure.Gradient:2","Real_Partition_Number","Shear_Strain_Rate","Specific_Volume","Total_Pressure","U_Mom.Residual","V_Mom.Residual","Velocity:0","Velocity:1","Velocity:2","Velocity_u.Beta","Velocity_u.Gradient:0","Velocity_u.Gradient:1","Velocity_u.Gradient:2","Velocity_v.Beta","Velocity_v.Gradient:0","Velocity_v.Gradient:1","Velocity_v.Gradient:2","Velocity_w.Beta","Velocity_w.Gradient:0","Velocity_w.Gradient:1","Velocity_w.Gradient:2","Volume_Porosity","Volume_of_Finite_Volumes","W_Mom.Residual","Wall_Shear:0","Wall_Shear:1","Wall_Shear:2"
2.0049,6.8497,0.18133,1,0.0021569,1.0019,1.5706,-7.9529e-10,5.3305,-2.7226e-16,0,2.0049,-0.21141,-6.8944e-05,-8.1315e-20,5,33.895,1,2.0049,-9.5368e-09,-1.1331e-09,0,0,0,0.023866,0.0095352,33.885,0,0.82262,-0.0014239,-0.017877,6.7424e-19,0.73234,-2.1176e-21,0,-9.4876e-12,1,3.6808e-06,-1.7259e-22,0.074785,4.0727e-07,-6.4387e-23
2.0155,6.8753,0.17908,1,0.0021569,1.0019,1.5706,-1.0797e-09,5.2804,-2.7431e-16,0,2.0155,-0.21857,-0.00031333,-9.4868e-20,5,33.862,1,2.0155,-1.0452e-08,-1.879e-09,0,0,0,0.024405,-0.0046026,33.847,0,0.97652,-0.0029627,0.0024419,7.3586e-19,0.73373,-4.2352e-21,0,-9.4585e-12,1,3.6671e-06,-2.2419e-22,0.074767,4.0717e-07,-3.681e-23
1.9943,6.8242,0.18358,1,0.0021569,1.0019,1.5706,-2.5353e-10,5.3807,-2.7021e-16,0,1.9943,-0.21371,-0.0012398,-6.7763e-20,5,33.971,1,1.9943,-1.0146e-08,-5.8446e-10,0,0,0,0.024093,0.015499,33.968,0,0.79263,0.0008921,-0.021923,6.0648e-19,0.73083,-1.6941e-21,0,-9.5463e-12,1,3.6945e-06,-1.5217e-22,0.074956,4.0821e-07,-1.1345e-22
1.9835,6.799,0.18446,1,0.0021569,1.0018,1.5706,1.2871e-10,5.4309,-2.6816e-16,0,1.9835,-0.21769,-0.0034436,-6.7763e-20,5,34.064,1,1.9835,-1.113e-08,1.7575e-11,0,0,0,0.024351,0.017246,34.061,-6.9389e-18,0.94505,0.00053185,-0.017013,5.2516e-19,0.72952,-2.5411e-21,0,-9.6162e-12,1,3.7082e-06,-1.4707e-22,0.075186,4.0945e-07,-1.7242e-22
1.9725,6.7739,0.18564,1,0.0021569,1.0018,1.5706,1.1247e-10,5.481,-2.6611e-16,0,1.9725,-0.22202,-0.0036993,-4.0658e-20,5,34.171,1,1.9725,-1.076e-08,7.1011e-10,0,0,0,0.024758,0.022027,34.166,0,0.87088,-0.0014853,-0.02352,4.4385e-19,0.72789,-1.6941e-21,0,-9.6826e-12,1,3.7219e-06,-1.4361e-22,0.075463,4.1097e-07,-2.0203e-22
1.9612,6.749,0.18837,1,0.0021569,1.0018,1.5706,1.1315e-10,5.5312,-2.6407e-16,0,1.9612,-0.23063,-0.0023157,-2.7105e-20,5,34.296,1,1.9612,-9.8371e-09,1.2176e-09,0,0,0,0.025713,0.027057,34.294,0,0.61328,-0.00097365,-0.034731,3.7269e-19,0.72584,-1.6941e-21,0,-9.755e-12,1,3.7356e-06,-1.5063e-22,0.075814,4.1287e-07,-2.1614e-22
1.9493,6.7243,0.1912,1,0.0021569,1.0018,1.5706,1.5423e-10,5.5814,-2.6202e-16,0,1.9493,-0.24261,-0.0022816,-2.7105e-20,5,34.426,1,1.9493,-9.6205e-09,1.3916e-09,0,0,0,0.026904,0.025768,34.431,0,0.64426,0.0010848,-0.032435,2.9816e-19,0.72398,-1.6941e-21,0,-9.8404e-12,1,3.7493e-06,-1.5528e-22,0.076192,4.1493e-07,-2.5853e-22
1.9368,6.6997,0.19281,1,0.0021569,1.0018,1.5706,3.333e-10,5.6315,-2.5997e-16,0,1.9368,-0.25188,-0.0027851,-1.3553e-20,5,34.539,1,1.9368,-1.0099e-08,1.3493e-09,0,0,0,0.027724,0.019204,34.546,-6.9389e-18,0.86767,0.0014104,-0.020545,2.3039e-19,0.72248,-1.6941e-21,0,-9.924e-12,1,3.763e-06,-1.4521e-22,0.07651,4.1667e-07,-3.0769e-22
1.9241,6.6754,0.19352,1,0.0021569,1.0018,1.5706,4.5932e-10,5.6817,-2.5792e-16,0,1.9241,-0.25508,-0.0020566,0,5,34.622,1,1.9241,-1.0552e-08,1.3273e-09,0,0,0,0.027995,0.011315,34.629,-6.9389e-18,0.96254,0.0010736,-0.010896,1.7449e-19,0.72109,0,0,-9.9919e-12,1,3.7767e-06,-1.2273e-22,0.076721,4.1781e-07,-3.323e-22
1.9113,6.6512,0.19345,1,0.0021569,1.0018,1.5706,4.5076e-10,5.7319,-2.5588e-16,0,1.9113,-0.25323,-0.0021631,-1.3553e-20,5,34.675,1,1.9113,-1.055e-08,1.4428e-09,0,0,0,0.027784,0.0058951,34.679,0,1,0.00042869,-0.0030008,1.2833e-19,0.72,-8.4703e-22,-1.7347e-18,-1.0046e-11,1,3.7904e-06,-9.909e-23,0.076833,4.1843e-07,-3.4405e-22
