"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
-0.97909,-5.2983e-16,0,8.4841,8.4841,0,0,0
-0.99903,-5.3064e-16,0,8.5037,8.5037,0,0,0
-1.0199,-5.3149e-16,0,8.5237,8.5237,0,0,0
-1.0421,-5.324e-16,0,8.5441,8.5441,0,0,0
-1.0682,-5.3347e-16,0,8.5671,8.5671,0,0,0
-1.0976,-5.3466e-16,0,8.5916,8.5916,0,0,0
-1.1275,-5.3588e-16,0,8.6153,8.6153,0,0,0
-1.1574,-5.3711e-16,0,8.6375,8.6375,0,0,0
-1.1873,-5.3833e-16,0,8.6584,8.6584,0,0,0
-1.2172,-5.3955e-16,0,8.6781,8.6781,0,0,0
-1.2472,-5.4077e-16,0,8.6966,8.6966,0,0,0
-1.2771,-5.4199e-16,0,8.714,8.714,0,0,0
-1.307,-5.4321e-16,0,8.7304,8.7304,0,0,0
-1.3369,-5.4443e-16,0,8.7459,8.7459,0,0,0
-1.3668,-5.4565e-16,0,8.7604,8.7604,0,0,0
-1.3967,-5.4688e-16,0,8.7741,8.7741,0,0,0
-1.4267,-5.481e-16,0,8.7869,8.7869,0,0,0
-1.4566,-5.4932e-16,0,8.7991,8.7991,0,0,0
-1.4865,-5.5054e-16,0,8.8105,8.8105,0,0,0
-1.5164,-5.5176e-16,0,8.8213,8.8213,0,0,0
-1.5463,-5.5298e-16,0,8.8314,8.8314,0,0,0
-1.5762,-5.542e-16,0,8.841,8.841,0,0,0
-1.6062,-5.5542e-16,0,8.8501,8.8501,0,0,0
-1.6361,-5.5665e-16,0,8.8588,8.8588,0,0,0
-1.666,-5.5787e-16,0,8.8669,8.8669,0,0,0
-1.6959,-5.5909e-16,0,8.8747,8.8747,0,0,0
-1.7258,-5.6031e-16,0,8.8821,8.8821,0,0,0
-1.7558,-5.6153e-16,0,8.8893,8.8893,0,0,0
-1.7857,-5.6275e-16,0,8.8961,8.8961,0,0,0
-1.8156,-5.6397e-16,0,8.9027,8.9027,0,0,0
-1.8455,-5.652e-16,0,8.9091,8.9091,0,0,0
-1.8754,-5.6642e-16,0,8.9155,8.9155,0,0,0
-1.9053,-5.6764e-16,0,8.9218,8.9218,0,0,0
-1.9353,-5.6886e-16,0,8.928,8.928,0,0,0
-1.9652,-5.7008e-16,0,8.934,8.934,0,0,0
-1.9951,-5.713e-16,0,8.9398,8.9398,0,0,0
-2.0255,-5.7254e-16,0,8.9454,8.9454,0,0,0
-2.06,-5.7395e-16,0,8.9513,8.9513,0,0,0
11.654,0.5,0,0.12953,0.12953,0,0,0
11.703,0.5,0,0.11059,0.11059,0,0,0
11.753,0.5,0,0.091607,0.091607,0,0,0
11.803,0.5,0,0.072532,0.072532,0,0,0
11.852,0.5,0,0.05355,0.05355,0,0,0
11.902,0.5,0,0.034917,0.034917,0,0,0
11.952,0.5,0,0.016859,0.016859,0,0,0
12,0.42871,0,0,2.1744,2.0857,-0.0036735,0
12,0.40745,0,0,3.3416,2.5858,-0.00080918,0
12,0.44721,0,0,1.2974,1.6111,-0.0028171,0
12,0.46329,0,0,0.67375,1.161,-0.0018469,0
12,0.47727,0,0,0.27486,0.74168,-0.0010309,0
12,0.48943,0,0,0.063419,0.35662,-0.00039914,0
12,0.5,0,0,-0.00015931,0,0,0
0,-4.8986e-16,0,6.3943,6.3943,0,0,0
-0.019945,-4.9067e-16,0,6.4667,6.4667,0,0,0
-0.03989,-4.9149e-16,0,6.5389,6.5389,0,0,0
-0.059835,-4.923e-16,0,6.6104,6.6104,0,0,0
-0.07978,-4.9312e-16,0,6.6809,6.6809,0,0,0
-0.099725,-4.9393e-16,0,6.7504,6.7504,0,0,0
-0.11967,-4.9474e-16,0,6.8186,6.8186,0,0,0
-0.13961,-4.9556e-16,0,6.8853,6.8853,0,0,0
-0.15956,-4.9637e-16,0,6.9504,6.9504,0,0,0
-0.1795,-4.9719e-16,0,7.0138,7.0138,0,0,0
