Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P8 - DSP [Pa],P10 - USP [Pa]
DP 1,528.24999999999852,0.52999999999999914,0.10033333333333334,10.703,2.19282,7.54435
DP 2,273.25000000000023,0.49399999999999955,0.101,13.2601,3.99988,10.6299
DP 3,690.25000000000148,0.23266666666666666,0.10166666666666667,10.0092,1.73325,6.73785
DP 4,639.25000000000023,0.36600000000000033,0.10233333333333335,10.1941,1.84979,6.94685
DP 5,757.750000000003,0.46066666666666656,0.10300000000000001,9.7857,1.59854,6.49139
DP 6,883.75000000000591,0.242,0.10366666666666667,9.47524,1.40127,6.13889
DP 7,588.24999999999909,0.95266666666667321,0.10433333333333333,10.3449,2.00693,7.17939
DP 8,940.75000000000728,0.64733333333333287,0.10500000000000001,9.32866,1.33066,5.99499
DP 9,211.74999999999986,0.54999999999999893,0.10566666666666667,14.6722,5.09788,12.434
DP 10,504.24999999999875,0.98733333333334072,0.10633333333333334,10.7869,2.28801,7.68147
DP 11,451.7499999999992,0.66066666666666651,0.10700000000000001,11.1712,2.52405,8.10967
DP 12,717.250000000002,0.53266666666666584,0.10766666666666667,9.89891,1.68179,6.63124
DP 13,795.25000000000387,0.73266666666666813,0.10833333333333334,9.63991,1.54459,6.36455
DP 14,144.24999999999997,0.95000000000000662,0.109,17.4786,7.41133,16.1507
DP 15,801.250000000004,0.27666666666666662,0.10966666666666668,9.66957,1.52267,6.35745
DP 16,930.25000000000693,0.21400000000000002,0.11033333333333334,9.3836,1.33875,6.03055
DP 17,223.74999999999991,0.750000000000002,0.11100000000000002,14.3198,4.83389,11.9938
DP 18,501.24999999999875,0.76733333333333564,0.11166666666666668,10.8217,2.29593,7.70677
DP 19,736.7500000000025,0.96733333333334026,0.11233333333333334,9.76664,1.65744,6.54076
DP 20,601.74999999999932,0.53533333333333255,0.113,10.3289,1.94908,7.11352
DP 21,319.75000000000057,0.73800000000000154,0.11366666666666667,12.4895,3.45396,9.69871
DP 22,204.24999999999986,0.61266666666666536,0.11433333333333334,14.8871,5.2819,12.7254
DP 23,582.24999999999886,0.24999999999999997,0.115,10.434,2.00111,7.21813
DP 24,675.25000000000114,0.21533333333333335,0.11566666666666667,10.0614,1.76738,6.79809
DP 25,607.74999999999955,0.82600000000000362,0.11633333333333333,10.2533,1.94473,7.07139
DP 26,885.25000000000591,0.52199999999999935,0.11699999999999999,9.45181,1.40284,6.12875
DP 27,295.75000000000034,0.52733333333333254,0.11766666666666667,12.8678,3.70955,10.1434
DP 28,183.24999999999989,0.70200000000000085,0.11833333333333333,15.6008,5.85669,13.6571
DP 29,903.25000000000637,0.48066666666666635,0.119,9.41971,1.37766,6.08752
DP 30,490.74999999999881,0.44733333333333336,0.11966666666666666,10.9233,2.32866,7.79032
DP 31,817.75000000000443,0.4993333333333328,0.12033333333333332,9.61329,1.50278,6.30942
DP 32,594.2499999999992,0.23933333333333331,0.121,10.3798,1.96616,7.15608
DP 33,682.75000000000125,0.93266666666667275,0.12166666666666666,9.93394,1.77098,6.73795
DP 34,444.24999999999937,0.85933333333333772,0.12233333333333332,11.1878,2.57119,8.16511
DP 35,868.75000000000557,0.56999999999999873,0.12299999999999998,9.47361,1.43517,6.17198
DP 36,927.25000000000693,0.70600000000000085,0.12366666666666665,9.31873,1.35395,6.01331
DP 37,343.75000000000034,0.28733333333333322,0.12433333333333332,12.2207,3.20877,9.31914
DP 38,916.75000000000671,0.739333333333335,0.12499999999999999,9.33053,1.37592,6.04118
DP 39,586.74999999999909,0.46599999999999986,0.12566666666666665,10.3969,1.99282,7.19127
DP 40,328.75000000000045,0.644666666666666,0.12633333333333333,12.3674,3.36597,9.54969
DP 41,468.24999999999909,0.76466666666666883,0.127,11.0171,2.44341,7.95198
DP 42,837.25000000000489,0.6579999999999997,0.12766666666666665,9.52285,1.47408,6.23551
DP 43,609.24999999999955,0.59799999999999853,0.12833333333333333,10.2723,1.94429,7.08045
DP 44,349.75000000000028,0.86066666666667113,0.12899999999999998,12.0828,3.18101,9.22243
DP 45,978.25000000000807,0.9806666666666739,0.12966666666666665,9.14909,1.31389,5.88843
DP 46,495.24999999999886,0.3460000000000002,0.1303333333333333,10.904,2.30636,7.75838
DP 47,781.75000000000352,0.7860000000000027,0.13099999999999998,9.63115,1.58159,6.39717
DP 48,624.24999999999989,0.73666666666666836,0.13166666666666665,10.1766,1.89796,6.98627
DP 49,516.24999999999864,0.26199999999999996,0.1323333333333333,10.7818,2.2199,7.61077
DP 50,103.75,0.96333333333334026,0.13299999999999998,20.8258,10.2428,20.6557
DP 51,106.75,0.50733333333333275,0.13366666666666666,20.4798,9.95189,20.1918
DP 52,480.249999999999,0.6886666666666672,0.1343333333333333,10.937,2.38662,7.85514
DP 53,393.24999999999989,0.21266666666666667,0.13499999999999998,11.6976,2.84699,8.69581
DP 54,864.25000000000546,0.50199999999999945,0.13566666666666663,9.4874,1.42959,6.17329
DP 55,855.25000000000523,0.70466666666666744,0.13633333333333331,9.45226,1.46456,6.19069
DP 56,465.24999999999915,0.31266666666666665,0.13699999999999996,11.1002,2.43529,7.98541
DP 57,109.75,0.53666666666666574,0.13766666666666663,20.1636,9.69204,19.7738
DP 58,126.25,0.61933333333333218,0.13833333333333331,18.6899,8.44691,17.7918
DP 59,138.25,0.21000000000000002,0.13899999999999996,17.8821,7.70614,16.6472
DP 60,321.25000000000057,0.77400000000000246,0.13966666666666663,12.4373,3.44423,9.66291
DP 61,619.74999999999977,0.23399999999999999,0.14033333333333331,10.2728,1.90097,7.03736
DP 62,396.24999999999983,0.89400000000000523,0.14099999999999996,11.5731,2.83417,8.62073
DP 63,652.75000000000057,0.89933333333333865,0.14166666666666664,10.0156,1.83925,6.84706
DP 64,279.25000000000028,0.58466666666666534,0.14233333333333328,13.1127,3.92893,10.4853
DP 65,732.25000000000239,0.63533333333333264,0.14299999999999996,9.79326,1.6629,6.55953
DP 66,417.24999999999966,0.69800000000000062,0.14366666666666661,11.4041,2.71545,8.41751
DP 67,789.25000000000375,0.92333333333333933,0.14433333333333329,9.56034,1.57156,6.35173
DP 68,447.24999999999932,0.75533333333333541,0.14499999999999996,11.149,2.55131,8.12582
DP 69,700.75000000000171,0.90466666666667206,0.14566666666666661,9.83082,1.73484,6.65025
DP 70,597.24999999999932,0.79000000000000292,0.14633333333333329,10.2584,1.97975,7.10895
DP 71,241.75000000000003,0.85666666666667113,0.14699999999999996,13.8372,4.49597,11.4146
DP 72,679.75000000000125,0.66733333333333333,0.14766666666666661,9.95252,1.76526,6.74152
DP 73,529.74999999999841,0.32333333333333336,0.14833333333333329,10.6957,2.1898,7.53767
DP 74,891.250000000006,0.6553333333333331,0.14899999999999994,9.36202,1.41103,6.09204
DP 75,870.25000000000557,0.60066666666666513,0.14966666666666661,9.42535,1.44147,6.15414
DP 76,493.74999999999881,0.754000000000002,0.15033333333333329,10.8183,2.33905,7.74822
DP 77,472.74999999999903,0.51799999999999935,0.15099999999999994,11.0092,2.42241,7.92702
DP 78,571.74999999999864,0.9140000000000057,0.15166666666666662,10.3498,2.0687,7.24358
DP 79,859.75000000000534,0.93533333333333957,0.15233333333333329,9.3558,1.47297,6.15087
DP 80,306.25000000000045,0.46466666666666651,0.15299999999999997,12.6886,3.59068,9.93496
DP 81,949.75000000000739,0.940666666666673,0.15366666666666662,9.15661,1.35482,5.93312
DP 82,756.250000000003,0.75933333333333541,0.15433333333333332,9.66698,1.62784,6.46133
DP 83,366.25000000000017,0.79133333333333611,0.15499999999999997,11.8696,3.04171,8.97649
DP 84,262.75000000000017,0.74600000000000177,0.15566666666666665,13.3875,4.16818,10.862
DP 85,430.74999999999943,0.9473333333333398,0.15633333333333332,11.24,2.64649,8.26648
DP 86,816.25000000000432,0.59266666666666512,0.157,9.54525,1.52075,6.29337
DP 87,192.24999999999989,0.831333333333337,0.15766666666666665,15.2354,5.59458,13.2123
DP 88,696.25000000000159,0.621999999999999,0.15833333333333333,9.88942,1.74891,6.69362
DP 89,466.74999999999909,0.90733333333333888,0.159,10.9639,2.46035,7.94229
DP 90,502.74999999999869,0.80466666666666975,0.15966666666666668,10.7366,2.2998,7.66811
DP 91,355.75000000000023,0.50866666666666616,0.16033333333333333,12.0256,3.13154,9.14436
DP 92,225.24999999999994,0.36466666666666697,0.16100000000000003,14.2912,4.80868,11.9543
DP 93,271.75000000000023,0.43933333333333346,0.16166666666666668,13.2586,4.02314,10.6525
DP 94,585.24999999999909,0.96466666666667344,0.16233333333333336,10.2593,2.03273,7.1624
DP 95,316.75000000000051,0.318,0.16300000000000003,12.5553,3.46078,9.73844
DP 96,738.2500000000025,0.936666666666673,0.16366666666666668,9.66684,1.67563,6.50905
DP 97,414.24999999999966,0.33000000000000007,0.16433333333333336,11.4857,2.72434,8.46719
DP 98,564.24999999999852,0.36333333333333362,0.16500000000000004,10.4989,2.06862,7.31805
DP 99,583.749999999999,0.66199999999999992,0.16566666666666668,10.3156,2.02287,7.18067
DP 100,237.25000000000003,0.23,0.16633333333333339,14.0119,4.56928,11.5752
DP 101,438.24999999999943,0.6913333333333338,0.16700000000000004,11.1962,2.60103,8.19911
DP 102,240.25000000000003,0.92600000000000593,0.16766666666666674,13.8588,4.52368,11.4531
DP 103,190.74999999999989,0.6233333333333323,0.16833333333333339,15.2872,5.64077,13.2844
DP 104,955.75000000000762,0.47533333333333305,0.16900000000000007,9.2593,1.33098,5.96063
DP 105,579.24999999999886,0.76333333333333564,0.16966666666666674,10.3065,2.04713,7.20039
DP 106,123.25,0.35666666666666691,0.17033333333333339,18.9349,8.64055,18.108
DP 107,121.75,0.52333333333333254,0.17100000000000007,19.0306,8.74543,18.2607
DP 108,276.25000000000028,0.43133333333333357,0.17166666666666675,13.1685,3.96215,10.5464
DP 109,604.74999999999955,0.83400000000000385,0.17233333333333339,10.1724,1.96827,7.05446
DP 110,664.7500000000008,0.69666666666666732,0.1730000000000001,9.95321,1.82299,6.79959
